chr1 start1 end1 tsrID nTAGs strand chr2 annotation feature start2 end2 score1 strand score2 geneID distanceToGene
627 scaffold_1 5178914 5178935 tsr_794 100 - scaffold_1 maker gene 5178361 5179090 . - . dp_gene798 0
656 scaffold_1 5908801 5908801 tsr_835 20 - scaffold_1 maker gene 5907262 5911261 . - . dp_gene955 0
699 scaffold_1 6753277 6753277 tsr_892 25 - scaffold_1 maker gene 6751657 6753337 . - . dp_gene1129 0
702 scaffold_1 6937734 6937734 tsr_896 24 - scaffold_1 maker gene 6932431 6939019 . - . dp_gene1161 0
726 scaffold_1 7129473 7129473 tsr_922 27 - scaffold_1 maker gene 7129621 7130095 . - . dp_gene1223 147
727 scaffold_1 7129616 7129621 tsr_923 57 - scaffold_1 maker gene 7129621 7130095 . - . dp_gene1223 0
728 scaffold_1 7129673 7129694 tsr_924 1437 - scaffold_1 maker gene 7129621 7130095 . - . dp_gene1223 0
729 scaffold_1 7129742 7129750 tsr_925 197 - scaffold_1 maker gene 7129621 7130095 . - . dp_gene1223 0
730 scaffold_1 7129901 7129932 tsr_926 367 - scaffold_1 maker gene 7129621 7130095 . - . dp_gene1223 0
731 scaffold_1 7130063 7130068 tsr_927 1918 - scaffold_1 maker gene 7129621 7130095 . - . dp_gene1223 0
733 scaffold_1 7175728 7175728 tsr_930 111 - scaffold_1 maker gene 7172556 7177222 . - . dp_gene1231 0
753 scaffold_1 7261368 7261368 tsr_950 22 - scaffold_1 maker gene 7258304 7273273 . - . dp_gene1258 0
754 scaffold_1 7271788 7271788 tsr_951 213 - scaffold_1 maker gene 7258304 7273273 . - . dp_gene1258 0
757 scaffold_1 7339307 7339307 tsr_954 22 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
758 scaffold_1 7339662 7339662 tsr_955 20 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
759 scaffold_1 7339777 7339779 tsr_956 52 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
760 scaffold_1 7339914 7339945 tsr_957 57 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
761 scaffold_1 7340105 7340105 tsr_958 34 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
762 scaffold_1 7340223 7340223 tsr_959 34 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
763 scaffold_1 7340533 7340551 tsr_960 4839 - scaffold_1 maker gene 7337971 7340587 . - . dp_gene1275 0
764 scaffold_1 7408186 7408186 tsr_961 405 - scaffold_1 maker gene 7409158 7410734 . - . dp_gene1285 971
765 scaffold_1 7410462 7410462 tsr_962 214 - scaffold_1 maker gene 7409158 7410734 . - . dp_gene1285 0
766 scaffold_1 7437740 7437740 tsr_964 25 - scaffold_1 maker gene 7432084 7437756 . - . dp_gene1289 0
845 scaffold_10 1420548 1420548 tsr_1069 29 + scaffold_10 maker gene 1420546 1421462 . + . dp_gene6982 0
846 scaffold_10 1497590 1497603 tsr_1071 126 + scaffold_10 maker gene 1497603 1498144 . + . dp_gene6987 0
864 scaffold_10 1896020 1896020 tsr_1093 44 + scaffold_10 maker gene 1891151 1895715 . + . dp_gene7034 305
906 scaffold_10 2527108 2527111 tsr_1153 120 + scaffold_10 maker gene 2526013 2549649 . + . dp_gene7157 0
960 scaffold_10 560800 560800 tsr_1228 124 - scaffold_10 maker gene 555149 560872 . - . dp_gene6840 0
964 scaffold_10 615051 615051 tsr_1233 173 - scaffold_10 maker gene 613323 615170 . - . dp_gene6850 0
998 scaffold_10 1108115 1108115 tsr_1273 23 - scaffold_10 maker gene 1106051 1108220 . - . dp_gene6924 0
1002 scaffold_10 1152745 1152745 tsr_1277 21 - scaffold_10 maker gene 1145006 1152753 . - . dp_gene6932 0
1003 scaffold_10 1166709 1166711 tsr_1278 61 - scaffold_10 maker gene 1167422 1169333 . - . dp_gene6935 711
1025 scaffold_10 1577124 1577125 tsr_1307 74 - scaffold_10 maker gene 1571776 1577147 . - . dp_gene7001 0
1028 scaffold_10 1938998 1938998 tsr_1313 51 - scaffold_10 maker gene 1916506 1940973 . - . dp_gene7039 0
1039 scaffold_10 2135706 2135706 tsr_1326 22 - scaffold_10 maker gene 2131703 2136964 . - . dp_gene7060 0
1071 scaffold_10 2498218 2498245 tsr_1367 85 - scaffold_10 maker gene 2493068 2498220 . - . dp_gene7151 0
1112 scaffold_100 62487 62492 tsr_1421 59 + scaffold_100 maker gene 62483 67637 . + . dp_gene18372 0
1125 scaffold_102 389875 389875 tsr_1449 23 + scaffold_102 maker gene 389841 392963 . + . dp_gene18486 0
1126 scaffold_102 390094 390094 tsr_1450 29 + scaffold_102 maker gene 389841 392963 . + . dp_gene18486 0
1128 scaffold_102 114982 114982 tsr_1456 169 - scaffold_102 maker gene 113988 115162 . - . dp_gene18463 0
1166 scaffold_103 258333 258333 tsr_1509 27 - scaffold_103 maker gene 255615 258999 . - . dp_gene18529 0
1167 scaffold_103 348998 348998 tsr_1510 54 - scaffold_103 maker gene 345918 349341 . - . dp_gene18543 0
1171 scaffold_103 430881 430881 tsr_1515 23 - scaffold_103 maker gene 430047 430921 . - . dp_gene18561 0
1178 scaffold_104 477967 477997 tsr_1526 318 + scaffold_104 maker gene 477995 480096 . + . dp_gene18597 0
1192 scaffold_105 462838 462872 tsr_1542 70 + scaffold_105 maker gene 462824 466606 . + . dp_gene18628 0
1195 scaffold_106 255264 255264 tsr_1547 27 + scaffold_106 maker gene 255235 258766 . + . dp_gene18637 0
1204 scaffold_107 330278 330283 tsr_1560 69 + scaffold_107 maker gene 330275 332222 . + . dp_gene18669 0
1228 scaffold_108 302935 302935 tsr_1587 128 + scaffold_108 maker gene 300993 302602 . + . dp_gene18700 333
1235 scaffold_108 446598 446598 tsr_1596 21 + scaffold_108 maker gene 446537 448302 . + . dp_gene18718 0
1242 scaffold_109 310306 310306 tsr_1606 66 + scaffold_109 maker gene 310267 313129 . + . dp_gene18750 0
1302 scaffold_11 817225 817225 tsr_1681 49 + scaffold_11 maker gene 815061 817586 . + . dp_gene7442 0
1308 scaffold_11 939474 939477 tsr_1689 50 + scaffold_11 maker gene 938526 938977 . + . dp_gene7474 498
1345 scaffold_11 1202531 1202531 tsr_1737 22 + scaffold_11 maker gene 1202473 1203852 . + . dp_gene7529 0
1390 scaffold_11 1747759 1747766 tsr_1790 4560 + scaffold_11 maker gene 1747650 1748907 . + . dp_gene7639 0
1419 scaffold_11 2591395 2591395 tsr_1828 21 + scaffold_11 maker gene 2590316 2599170 . + . dp_gene7791 0
1463 scaffold_11 400731 400731 tsr_1879 42 - scaffold_11 maker gene 399498 400738 . - . dp_gene7339 0
1468 scaffold_11 498137 498137 tsr_1886 29 - scaffold_11 maker gene 498771 501661 . - . dp_gene7362 633
1492 scaffold_11 868390 868390 tsr_1913 144 - scaffold_11 maker gene 867158 868474 . - . dp_gene7453 0
1495 scaffold_11 950749 950750 tsr_1916 83 - scaffold_11 maker gene 949694 950765 . - . dp_gene7479 0
1516 scaffold_11 1516665 1516665 tsr_1948 73 - scaffold_11 maker gene 1516689 1517131 . - . dp_gene7597 23
1519 scaffold_11 1566446 1566449 tsr_1952 209 - scaffold_11 maker gene 1561719 1578072 . - . dp_gene7605 0
1521 scaffold_11 1625993 1625993 tsr_1955 21 - scaffold_11 maker gene 1621810 1626081 . - . dp_gene7617 0
1535 scaffold_11 1860305 1860305 tsr_1972 105 - scaffold_11 maker gene 1860953 1863220 . - . dp_gene7656 647
1536 scaffold_11 1860345 1860349 tsr_1973 3850 - scaffold_11 maker gene 1860953 1863220 . - . dp_gene7656 604
1537 scaffold_11 1862674 1862687 tsr_1974 4532 - scaffold_11 maker gene 1860953 1863220 . - . dp_gene7656 0
1538 scaffold_11 1904143 1904143 tsr_1977 33 - scaffold_11 maker gene 1902998 1907251 . - . dp_gene7664 0
1539 scaffold_11 1904769 1904770 tsr_1978 2377 - scaffold_11 maker gene 1902998 1907251 . - . dp_gene7664 0
1540 scaffold_11 1907133 1907140 tsr_1979 8120 - scaffold_11 maker gene 1902998 1907251 . - . dp_gene7664 0
1554 scaffold_11 2168934 2168934 tsr_1997 21 - scaffold_11 maker gene 2169523 2174455 . - . dp_gene7708 588
1567 scaffold_11 2492422 2492422 tsr_2011 33 - scaffold_11 maker gene 2485542 2494711 . - . dp_gene7778 0
1571 scaffold_11 2639168 2639168 tsr_2016 23 - scaffold_11 maker gene 2638400 2639385 . - . dp_gene7803 0
1572 scaffold_11 2652050 2652050 tsr_2017 25 - scaffold_11 maker gene 2651415 2652308 . - . dp_gene7806 0
1573 scaffold_11 2652299 2652309 tsr_2018 2672 - scaffold_11 maker gene 2651415 2652308 . - . dp_gene7806 0
1587 scaffold_11 2869532 2869532 tsr_2035 35 - scaffold_11 maker gene 2868285 2869662 . - . dp_gene7864 0
1589 scaffold_11 2877051 2877051 tsr_2037 50 - scaffold_11 maker gene 2875162 2877471 . - . dp_gene7867 0
1632 scaffold_111 355436 355436 tsr_2089 23 - scaffold_111 maker gene 355020 355795 . - . dp_gene18820 0
1633 scaffold_111 355656 355656 tsr_2090 41 - scaffold_111 maker gene 355020 355795 . - . dp_gene18820 0
1653 scaffold_112 311637 311637 tsr_2123 23 - scaffold_112 maker gene 307980 311657 . - . dp_gene18878 0
1668 scaffold_115 56067 56088 tsr_2148 61 + scaffold_115 maker gene 56083 62236 . + . dp_gene18944 0
1686 scaffold_115 280836 280857 tsr_2174 101 - scaffold_115 maker gene 273579 280841 . - . dp_gene18966 0
1702 scaffold_117 149260 149260 tsr_2194 45 + scaffold_117 maker gene 149259 150494 . + . dp_gene19025 0
1811 scaffold_12 1098497 1098497 tsr_2329 69 + scaffold_12 maker gene 1098459 1099844 . + . dp_gene8055 0
1851 scaffold_12 1572258 1572258 tsr_2375 66 + scaffold_12 maker gene 1570581 1574227 . + . dp_gene8161 0
1861 scaffold_12 1906006 1906038 tsr_2393 54 + scaffold_12 maker gene 1905334 1921902 . + . dp_gene8197 0
1914 scaffold_12 124284 124285 tsr_2461 44 - scaffold_12 maker gene 123205 124287 . - . dp_gene7908 0
1957 scaffold_12 1145667 1145667 tsr_2528 252 - scaffold_12 maker gene 1140991 1147275 . - . dp_gene8064 0
2002 scaffold_12 1471043 1471043 tsr_2596 23 - scaffold_12 maker gene 1466797 1471171 . - . dp_gene8138 0
2024 scaffold_12 2071049 2071049 tsr_2628 30 - scaffold_12 maker gene 2070614 2071071 . - . dp_gene8220 0
2051 scaffold_12 2827790 2827791 tsr_2658 57 - scaffold_12 maker gene 2826947 2828925 . - . dp_gene8306 0
2052 scaffold_12 2828568 2828568 tsr_2659 91 - scaffold_12 maker gene 2826947 2828925 . - . dp_gene8306 0
2095 scaffold_123 326482 326491 tsr_2719 98 + scaffold_123 maker gene 326076 328860 . + . dp_gene19195 0
2106 scaffold_124 338856 338890 tsr_2733 117 + scaffold_124 maker gene 338399 341074 . + . dp_gene19221 0
2131 scaffold_126 213886 213886 tsr_2763 23 + scaffold_126 maker gene 205072 214281 . + . dp_gene19245 0
2181 scaffold_13 4783 4789 tsr_2837 284 + scaffold_13 maker gene 4757 6002 . + . dp_gene8324 0
2246 scaffold_13 1442980 1442980 tsr_2921 20 + scaffold_13 maker gene 1442745 1446222 . + . dp_gene8579 0
2254 scaffold_13 1519395 1519395 tsr_2930 44 + scaffold_13 maker gene 1519257 1526224 . + . dp_gene8591 0
2268 scaffold_13 1747856 1747859 tsr_2947 41 + scaffold_13 maker gene 1744771 1747697 . + . dp_gene8632 160
2277 scaffold_13 1809562 1809562 tsr_2957 22 + scaffold_13 maker gene 1807242 1811351 . + . dp_gene8646 0
2304 scaffold_13 2319829 2319829 tsr_2989 29 + scaffold_13 maker gene 2316474 2318966 . + . dp_gene8748 863
2358 scaffold_13 518818 518818 tsr_3047 29 - scaffold_13 maker gene 519550 521555 . - . dp_gene8385 731
2395 scaffold_13 1141938 1141938 tsr_3093 20 - scaffold_13 maker gene 1139325 1141939 . - . dp_gene8506 0
2407 scaffold_13 1287416 1287416 tsr_3109 20 - scaffold_13 maker gene 1283362 1290623 . - . dp_gene8541 0
2408 scaffold_13 1287579 1287579 tsr_3110 20 - scaffold_13 maker gene 1283362 1290623 . - . dp_gene8541 0
2414 scaffold_13 1392991 1392991 tsr_3116 31 - scaffold_13 maker gene 1391918 1393388 . - . dp_gene8563 0
2438 scaffold_13 1708539 1708539 tsr_3151 28 - scaffold_13 maker gene 1706850 1708641 . - . dp_gene8627 0
2446 scaffold_13 1998822 1998822 tsr_3163 37 - scaffold_13 maker gene 1996091 1999008 . - . dp_gene8667 0
2510 scaffold_13 2625739 2625739 tsr_3232 49 - scaffold_13 maker gene 2626044 2628221 . - . dp_gene8795 304
2540 scaffold_130 314377 314377 tsr_3272 61 + scaffold_130 maker gene 314052 317835 . + . dp_gene19400 0
2541 scaffold_130 314429 314429 tsr_3273 40 + scaffold_130 maker gene 314052 317835 . + . dp_gene19400 0
2542 scaffold_130 314766 314766 tsr_3274 22 + scaffold_130 maker gene 314052 317835 . + . dp_gene19400 0
2559 scaffold_132 356842 356842 tsr_3302 70 - scaffold_132 maker gene 355560 357870 . - . dp_gene19449 0
2581 scaffold_134 186425 186425 tsr_3342 30 + scaffold_134 maker gene 186334 191088 . + . dp_gene19525 0
2582 scaffold_134 186510 186510 tsr_3343 43 + scaffold_134 maker gene 186334 191088 . + . dp_gene19525 0
2602 scaffold_135 367546 367551 tsr_3376 68 - scaffold_135 maker gene 364397 373139 . - . dp_gene19579 0
2612 scaffold_139 86337 86350 tsr_3395 1343 - scaffold_139 maker gene 81032 86339 . - . dp_gene19605 0
2647 scaffold_14 1219218 1219218 tsr_3446 72 + scaffold_14 maker gene 1218939 1220205 . + . dp_gene8925 0
2731 scaffold_14 180254 180254 tsr_3561 22 - scaffold_14 maker gene 178234 182154 . - . dp_gene8838 0
2863 scaffold_140 250629 250630 tsr_3732 349 + scaffold_140 maker gene 247226 249771 . + . dp_gene19665 859
2922 scaffold_15 282984 282984 tsr_3822 44 + scaffold_15 maker gene 280737 282919 . + . dp_gene9147 65
2927 scaffold_15 371833 371833 tsr_3829 26 + scaffold_15 maker gene 370075 393780 . + . dp_gene9162 0
2929 scaffold_15 413963 413964 tsr_3832 54 + scaffold_15 maker gene 407508 427807 . + . dp_gene9166 0
2931 scaffold_15 488664 488664 tsr_3834 75 + scaffold_15 maker gene 488589 490226 . + . dp_gene9178 0
2934 scaffold_15 510277 510277 tsr_3837 32 + scaffold_15 maker gene 510049 512259 . + . dp_gene9188 0
2940 scaffold_15 591431 591431 tsr_3846 20 + scaffold_15 maker gene 588306 595948 . + . dp_gene9201 0
2961 scaffold_15 866948 866949 tsr_3875 339 + scaffold_15 maker gene 849862 882152 . + . dp_gene9227 0
3010 scaffold_15 1701461 1701464 tsr_3934 191 + scaffold_15 maker gene 1701444 1705049 . + . dp_gene9360 0
3048 scaffold_15 149113 149113 tsr_3987 21 - scaffold_15 maker gene 140876 149256 . - . dp_gene9130 0
3062 scaffold_15 537747 537749 tsr_4005 83 - scaffold_15 maker gene 536799 538744 . - . dp_gene9195 0
3081 scaffold_15 1180709 1180709 tsr_4029 25 - scaffold_15 maker gene 1177851 1180764 . - . dp_gene9274 0
3087 scaffold_15 1342678 1342678 tsr_4037 31 - scaffold_15 maker gene 1341484 1342745 . - . dp_gene9299 0
3123 scaffold_15 2359262 2359262 tsr_4090 23 - scaffold_15 maker gene 2357357 2359312 . - . dp_gene9498 0
3153 scaffold_157 43715 43718 tsr_4143 257 - scaffold_157 maker gene 42543 43975 . - . dp_gene19973 0
3163 scaffold_165 103763 103763 tsr_4164 27 + scaffold_165 maker gene 103631 105614 . + . dp_gene20074 0
3171 scaffold_165 100890 100890 tsr_4176 20 - scaffold_165 maker gene 101410 102922 . - . dp_gene20073 519
3172 scaffold_165 205925 205953 tsr_4177 323 - scaffold_165 maker gene 204990 206248 . - . dp_gene20088 0
3231 scaffold_17 604230 604230 tsr_4267 21 + scaffold_17 maker gene 604146 605991 . + . dp_gene9618 0
3245 scaffold_17 793485 793485 tsr_4284 53 + scaffold_17 maker gene 793379 794576 . + . dp_gene9656 0
3317 scaffold_17 2144708 2144711 tsr_4385 868 + scaffold_17 maker gene 2144180 2145557 . + . dp_gene9837 0
3360 scaffold_17 174103 174103 tsr_4435 30 - scaffold_17 maker gene 173499 174135 . - . dp_gene9548 0
3364 scaffold_17 204946 204946 tsr_4440 87 - scaffold_17 maker gene 196530 205137 . - . dp_gene9555 0
3401 scaffold_17 745959 745959 tsr_4491 30 - scaffold_17 maker gene 742116 747703 . - . dp_gene9645 0
3420 scaffold_17 1159848 1159850 tsr_4515 204 - scaffold_17 maker gene 1158450 1159849 . - . dp_gene9708 0
3425 scaffold_17 1409973 1409973 tsr_4522 34 - scaffold_17 maker gene 1409326 1410004 . - . dp_gene9720 0
3443 scaffold_17 1866555 1866555 tsr_4542 32 - scaffold_17 maker gene 1865676 1866673 . - . dp_gene9794 0
3469 scaffold_172 114832 114832 tsr_4581 21 - scaffold_172 maker gene 114042 115793 . - . dp_gene20248 0
3488 scaffold_175 120930 120930 tsr_4605 182 - scaffold_175 maker gene 119936 121286 . - . dp_gene20314 0
3511 scaffold_18 696188 696188 tsr_4633 21 + scaffold_18 maker gene 692483 698287 . + . dp_gene9943 0
3554 scaffold_18 1775479 1775479 tsr_4691 61 + scaffold_18 maker gene 1775436 1778172 . + . dp_gene10117 0
3562 scaffold_18 1914782 1914794 tsr_4707 79 + scaffold_18 maker gene 1904309 1914485 . + . dp_gene10149 298
3576 scaffold_18 2153891 2153891 tsr_4724 26 + scaffold_18 maker gene 2153671 2156587 . + . dp_gene10205 0
3583 scaffold_18 530765 530821 tsr_4735 864 - scaffold_18 maker gene 516269 530815 . - . dp_gene9913 0
3599 scaffold_18 1023612 1023612 tsr_4756 125 - scaffold_18 maker gene 1020469 1026002 . - . dp_gene10019 0
3638 scaffold_18 1790919 1790919 tsr_4805 304 - scaffold_18 maker gene 1788870 1791107 . - . dp_gene10120 0
3683 scaffold_185 11991 11994 tsr_4861 187 - scaffold_185 maker gene 12901 13486 . - . dp_gene20400 907
3721 scaffold_19 531719 531720 tsr_4915 342 + scaffold_19 maker gene 531679 535364 . + . dp_gene10299 0
3723 scaffold_19 633314 633318 tsr_4918 126 + scaffold_19 maker gene 629486 632332 . + . dp_gene10311 983
3731 scaffold_19 1048397 1048397 tsr_4935 45 + scaffold_19 maker gene 1048303 1049742 . + . dp_gene10396 0
3752 scaffold_19 105568 105604 tsr_4960 523 - scaffold_19 maker gene 103755 105579 . - . dp_gene10227 0
3761 scaffold_19 424698 424698 tsr_4971 30 - scaffold_19 maker gene 423264 424699 . - . dp_gene10284 0
3771 scaffold_19 701639 701639 tsr_4984 106 - scaffold_19 maker gene 700992 701862 . - . dp_gene10328 0
3793 scaffold_19 1237326 1237326 tsr_5012 20 - scaffold_19 maker gene 1234658 1237840 . - . dp_gene10424 0
3813 scaffold_191 45636 45636 tsr_5039 48 + scaffold_191 maker gene 45609 52376 . + . dp_gene20443 0
3818 scaffold_195 76701 76701 tsr_5047 48 + scaffold_195 maker gene 76541 78895 . + . dp_gene20482 0
3847 scaffold_2 253421 253421 tsr_5099 20 + scaffold_2 maker gene 253133 270506 . + . dp_gene1366 0
3848 scaffold_2 253810 253810 tsr_5100 43 + scaffold_2 maker gene 253133 270506 . + . dp_gene1366 0
3854 scaffold_2 543156 543156 tsr_5112 98 + scaffold_2 maker gene 542220 544088 . + . dp_gene1406 0
3880 scaffold_2 1402857 1402857 tsr_5150 33 + scaffold_2 maker gene 1402782 1407211 . + . dp_gene1527 0
3895 scaffold_2 1531169 1531169 tsr_5167 24 + scaffold_2 maker gene 1531120 1532102 . + . dp_gene1553 0
3957 scaffold_2 2763869 2763908 tsr_5245 112 + scaffold_2 maker gene 2763886 2774755 . + . dp_gene1734 0
3979 scaffold_2 3397063 3397063 tsr_5279 22 + scaffold_2 maker gene 3396842 3400302 . + . dp_gene1823 0
4091 scaffold_2 10246 10246 tsr_5479 41 - scaffold_2 maker gene 7441 10317 . - . dp_gene1322 0
4093 scaffold_2 160299 160302 tsr_5482 76 - scaffold_2 maker gene 157485 160484 . - . dp_gene1337 0
4097 scaffold_2 223094 223094 tsr_5486 22 - scaffold_2 maker gene 222633 223116 . - . dp_gene1355 0
4140 scaffold_2 479613 479647 tsr_5537 55 - scaffold_2 maker gene 475130 479757 . - . dp_gene1402 0
4141 scaffold_2 479692 479704 tsr_5538 234 - scaffold_2 maker gene 475130 479757 . - . dp_gene1402 0
4149 scaffold_2 773104 773104 tsr_5553 32 - scaffold_2 maker gene 769821 773513 . - . dp_gene1436 0
4207 scaffold_2 1957679 1957684 tsr_5633 68 - scaffold_2 maker gene 1956068 1961692 . - . dp_gene1615 0
4255 scaffold_2 3141220 3141221 tsr_5694 48 - scaffold_2 maker gene 3137829 3141450 . - . dp_gene1782 0
4261 scaffold_2 3249152 3249152 tsr_5703 21 - scaffold_2 maker gene 3247535 3249171 . - . dp_gene1799 0
4262 scaffold_2 3294295 3294309 tsr_5704 93 - scaffold_2 maker gene 3293272 3294298 . - . dp_gene1804 0
4281 scaffold_2 3758696 3758696 tsr_5732 39 - scaffold_2 maker gene 3757206 3759147 . - . dp_gene1881 0
4292 scaffold_2 3940017 3940017 tsr_5749 29 - scaffold_2 maker gene 3939748 3940231 . - . dp_gene1918 0
4354 scaffold_2 5536272 5536272 tsr_5830 23 - scaffold_2 maker gene 5533518 5536302 . - . dp_gene2093 0
4422 scaffold_20 598565 598565 tsr_5911 26 + scaffold_20 maker gene 598553 601488 . + . dp_gene10564 0
4433 scaffold_20 682334 682334 tsr_5924 34 + scaffold_20 maker gene 682263 685151 . + . dp_gene10586 0
4691 scaffold_20 1789116 1789116 tsr_6248 25 - scaffold_20 maker gene 1780599 1793104 . - . dp_gene10724 0
4694 scaffold_20 1830235 1830242 tsr_6251 285 - scaffold_20 maker gene 1831006 1839181 . - . dp_gene10734 764
4695 scaffold_20 1832492 1832492 tsr_6252 29 - scaffold_20 maker gene 1831006 1839181 . - . dp_gene10734 0
4702 scaffold_20 2040154 2040170 tsr_6263 96 - scaffold_20 maker gene 2037336 2040407 . - . dp_gene10779 0
4712 scaffold_206 54957 54957 tsr_6281 21 + scaffold_206 maker gene 54957 59473 . + . dp_gene20576 0
4740 scaffold_21 298069 298090 tsr_6326 85 + scaffold_21 maker gene 297706 309943 . + . dp_gene10840 0
4814 scaffold_21 1188923 1188925 tsr_6418 162 + scaffold_21 maker gene 1187036 1188568 . + . dp_gene10986 356
4827 scaffold_21 1842976 1842980 tsr_6439 95 + scaffold_21 maker gene 1842655 1845327 . + . dp_gene11054 0
4858 scaffold_21 410194 410194 tsr_6477 25 - scaffold_21 maker gene 409087 410465 . - . dp_gene10857 0
4885 scaffold_21 738957 738960 tsr_6510 76 - scaffold_21 maker gene 737855 739138 . - . dp_gene10925 0
4897 scaffold_21 1195218 1195218 tsr_6530 35 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4898 scaffold_21 1195356 1195396 tsr_6531 68 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4899 scaffold_21 1195823 1195823 tsr_6532 22 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
4900 scaffold_21 1196030 1196091 tsr_6533 5748 - scaffold_21 maker gene 1193863 1200673 . - . dp_gene10988 0
